gate_id,location_id,collected_at,motor_temperature_c,motor_current_a,voltage_v,open_close_time_sec,vibration_mm_s,operation_count,error_count,days_since_maintenance,risk_score,risk_level,maintenance_event,failure_event
GATE-01,PARKING-01,2026-01-01 00:00:00,35.09,3.25,24.46,2.43,0.56,31198,0,37,0,정상,0,0
GATE-01,PARKING-01,2026-01-01 01:00:00,36.78,3.61,23.91,2.2,0.46,31204,0,37,0,정상,0,0
GATE-01,PARKING-01,2026-01-01 02:00:00,35.89,3.03,24.51,2.18,0.79,31206,0,37,2.16,정상,0,0
GATE-01,PARKING-01,2026-01-01 03:00:00,34.85,3.11,23.42,2.51,0.7,31210,1,37,5.18,정상,0,0
GATE-01,PARKING-01,2026-01-01 04:00:00,35.19,3.06,24.07,2.5,0.6,31213,1,37,7.51,정상,0,0
GATE-01,PARKING-01,2026-01-01 05:00:00,34.81,3.45,23.21,2.57,0.62,31220,0,37,2.44,정상,0,0
GATE-01,PARKING-01,2026-01-01 06:00:00,37.08,3.43,23.82,2.02,0.67,31240,0,37,0,정상,0,0
GATE-01,PARKING-01,2026-01-01 07:00:00,39.28,4.39,23.86,2.33,0.61,31293,0,37,1.69,정상,0,0
GATE-01,PARKING-01,2026-01-01 08:00:00,41.33,4.05,23.92,2.28,0.76,31334,0,37,3.74,정상,0,0
GATE-01,PARKING-01,2026-01-01 09:00:00,41.5,3.96,23.78,2.24,0.85,31385,0,37,0,정상,0,0
GATE-01,PARKING-01,2026-01-01 10:00:00,38.31,3.05,23.94,2.28,0.73,31401,0,37,0,정상,0,0
GATE-01,PARKING-01,2026-01-01 11:00:00,33.07,3.19,23.74,2.21,0.68,31419,0,37,1.37,정상,0,0
GATE-01,PARKING-01,2026-01-01 12:00:00,42.9,4.01,24.22,2.29,0.73,31460,0,37,1.87,정상,0,0
GATE-01,PARKING-01,2026-01-01 13:00:00,32.31,3.44,24.41,2.44,0.66,31479,1,37,8.79,정상,0,0
GATE-01,PARKING-01,2026-01-01 14:00:00,37.2,3.43,24.1,2.69,0.71,31496,0,37,0,정상,0,0
GATE-01,PARKING-01,2026-01-01 15:00:00,37.07,3.27,24.2,2.29,0.54,31521,0,37,1.63,정상,0,0
GATE-01,PARKING-01,2026-01-01 16:00:00,35.75,3.41,24.01,2.37,0.58,31540,1,37,1.6,정상,0,0
GATE-01,PARKING-01,2026-01-01 17:00:00,39.91,3.82,24.28,2.71,0.62,31589,1,37,7.68,정상,0,0
GATE-01,PARKING-01,2026-01-01 18:00:00,39.97,4.11,24.06,2.27,0.76,31636,0,37,0,정상,0,0
GATE-01,PARKING-01,2026-01-01 19:00:00,42.74,3.99,23.7,2.52,0.73,31684,0,37,1.87,정상,0,0
GATE-01,PARKING-01,2026-01-01 20:00:00,39.91,3.81,23.8,2.33,0.66,31715,0,37,2.29,정상,0,0
GATE-01,PARKING-01,2026-01-01 21:00:00,36.53,3.62,23.84,2.48,0.84,31742,0,37,2.25,정상,0,0
GATE-01,PARKING-01,2026-01-01 22:00:00,38.06,3.32,23.82,2.43,0.72,31771,0,37,0.94,정상,0,0
GATE-01,PARKING-01,2026-01-01 23:00:00,36.26,3.7,24.01,2.58,1.07,31788,0,37,1.68,정상,0,0
GATE-01,PARKING-01,2026-01-02 00:00:00,34.24,3.27,24,2.35,0.84,31788,0,38,4.66,정상,0,0
GATE-01,PARKING-01,2026-01-02 01:00:00,32.26,2.99,24.29,2.53,0.87,31788,0,38,2.57,정상,0,0
GATE-01,PARKING-01,2026-01-02 02:00:00,35.91,3.49,24.02,2.38,0.61,31796,0,38,0,정상,0,0
GATE-01,PARKING-01,2026-01-02 03:00:00,35.18,3.37,24.38,2.01,0.6,31806,1,38,8.79,정상,0,0
GATE-01,PARKING-01,2026-01-02 04:00:00,30.26,3.26,24.41,2.23,0.46,31809,0,38,3.89,정상,0,0
GATE-01,PARKING-01,2026-01-02 05:00:00,37.22,3.72,24.16,2.47,0.35,31818,0,38,3.19,정상,0,0
GATE-01,PARKING-01,2026-01-02 06:00:00,38.26,3.38,24.27,2.18,0.74,31846,0,38,0,정상,0,0
GATE-01,PARKING-01,2026-01-02 07:00:00,34.99,4.46,23.99,2.05,0.81,31879,0,38,0,정상,0,0
GATE-01,PARKING-01,2026-01-02 08:00:00,37.12,3.86,24.16,2.39,0.71,31917,0,38,2.91,정상,0,0
GATE-01,PARKING-01,2026-01-02 09:00:00,40.23,4.24,24.21,2.22,0.35,31957,0,38,1.32,정상,0,0
GATE-01,PARKING-01,2026-01-02 10:00:00,37.66,3.74,24.22,2.43,0.72,31984,0,38,0,정상,0,0
GATE-01,PARKING-01,2026-01-02 11:00:00,35.59,3.83,24.06,2.22,0.76,32013,0,38,0,정상,0,0
GATE-01,PARKING-01,2026-01-02 12:00:00,34.25,3.65,24.17,2.32,0.41,32022,0,38,1.06,정상,0,0
GATE-01,PARKING-01,2026-01-02 13:00:00,36.16,3.3,24.34,2.34,0.61,32052,0,38,1.61,정상,0,0
GATE-01,PARKING-01,2026-01-02 14:00:00,37.16,3.78,24.08,2.43,0.77,32068,0,38,0,정상,0,0
GATE-01,PARKING-01,2026-01-02 15:00:00,35.59,4.38,23.93,2.12,0.74,32089,1,38,6.81,정상,0,0
