equipment_id,location_id,equipment_type,collected_at,day_index,hour,traffic_load,temperature_c,voltage_v,signal_strength_dbm,success_rate,response_time_ms,retry_count,disconnect_count,packet_loss_rate,error_count,days_since_maintenance,risk_score,risk_level,failure_event,maintenance_event,failure_within_7d,rul_hours
ANT-001,TG-01,hipass_antenna,2026-01-01 00:00:00,0,0,0.251,24.07,12.29,87.41,99.31,40.22,0,0,0.136,0,15,3.67,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 01:00:00,0,1,0.229,24.94,12.33,85.76,98.62,42.36,0,1,0.326,1,15,3.89,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 02:00:00,0,2,0.257,23.91,12.32,83.47,99.79,35.6,0,0,0.027,0,15,8.78,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 03:00:00,0,3,0.271,24.25,12.37,85.49,99.56,38.67,0,0,0.108,1,15,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 04:00:00,0,4,0.31,26.67,12.39,84.28,99.56,39.96,0,0,0.056,0,15,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 05:00:00,0,5,0.406,27.31,12.33,85.37,99.23,40.26,2,0,0.222,2,15,5.65,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 06:00:00,0,6,0.496,28.27,12.25,85.33,99.48,38.08,0,0,0.123,0,15,0,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 07:00:00,0,7,0.574,29.01,12.34,85.02,98.99,42.07,0,0,0.192,0,15,1.16,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 08:00:00,0,8,0.661,29.68,12.28,85.27,98.93,41.38,0,0,0.223,1,15,0.38,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 09:00:00,0,9,0.619,31.88,12.35,86.2,99.05,46.32,0,1,0.377,1,15,8.22,정상,0,0,0,
ANT-001,TG-01,hipass_antenna,2026-01-01 10:00:00,0,10,0.511,31.55,12.31,83.94,99.33,40.37,1,0,0.159,1,15,2.3,정상,0,0,0,
