timestamp,robot_id,drive_motor_temperature_c,drive_motor_current_a,drive_vibration_mm_s,battery_voltage_v,battery_temperature_c,days_since_maintenance,risk_level
2026-05-01 00:00:00,ROBOT_01,41.21,8.304,1.738,48.435,31.58,0,정상
2026-05-01 00:00:00,ROBOT_02,54.55,8.751,1.717,47.547,34.29,0,정상
2026-05-01 00:00:00,ROBOT_03,51.34,9.285,1.477,47.906,33.27,0,정상
2026-05-01 00:00:00,ROBOT_04,52.82,9.091,1.257,47.546,36.33,0,정상
2026-05-01 00:53:00,ROBOT_01,50.35,8.427,1.346,48.703,32.09,0,정상
2026-05-01 00:53:00,ROBOT_02,49.44,8.202,2.178,47.577,33.69,0,정상
2026-05-01 00:53:00,ROBOT_03,44.37,9.125,1.187,48.282,31.44,0,정상
2026-05-01 00:53:00,ROBOT_04,50.55,9.278,1.743,47.604,34.43,0,정상
2026-05-01 01:46:01,ROBOT_01,45.85,7.679,1.273,47.456,31.44,0,정상
2026-05-01 01:46:01,ROBOT_02,53.77,9.445,1.665,47.696,33.85,0,정상
2026-05-01 01:46:01,ROBOT_03,48.85,7.986,1.216,48.38,30.97,0,정상
2026-05-01 01:46:01,ROBOT_04,49.98,7.95,1.918,47.876,34.4,0,정상
2026-05-01 02:39:02,ROBOT_01,48.71,8.476,1.622,48.424,33.54,0,정상
2026-05-01 02:39:02,ROBOT_02,50.91,8.362,1.924,47.637,33.56,0,정상
2026-05-01 02:39:02,ROBOT_03,42.8,7.25,1.229,48.667,32.09,0,정상
2026-05-01 02:39:02,ROBOT_04,48.17,8.589,1.239,48.088,32.98,0,정상
2026-05-01 03:32:03,ROBOT_01,49.12,8.172,0.664,48.611,33.27,0,정상
2026-05-01 03:32:03,ROBOT_02,54.75,9.635,2.988,46.643,37.54,0,주의
2026-05-01 03:32:03,ROBOT_03,43.31,8.453,1.472,48.538,29.86,0,정상
2026-05-01 03:32:03,ROBOT_04,46.66,8.705,2.049,47.861,32.4,0,정상
2026-05-01 04:25:03,ROBOT_01,41.82,7.159,1.307,48.134,28.01,0,정상
2026-05-01 04:25:03,ROBOT_02,47.91,7.115,1.002,47.98,31.36,0,정상
2026-05-01 04:25:03,ROBOT_03,42.52,7.25,0.694,48.603,29.09,0,정상
2026-05-01 04:25:03,ROBOT_04,46.93,8.847,1.807,48.499,32.11,0,정상
2026-05-01 05:18:04,ROBOT_01,48.11,8.059,1.209,48.493,31.59,0,정상
2026-05-01 05:18:04,ROBOT_02,43.21,7.583,1.992,48.023,35.46,0,정상
2026-05-01 05:18:04,ROBOT_03,44.83,5.8,1.593,48.94,30.76,0,정상
2026-05-01 05:18:04,ROBOT_04,49.24,9.032,1.81,47.755,31.84,0,정상
2026-05-01 06:11:05,ROBOT_01,45.05,8.569,1.557,47.86,35.5,0,정상
2026-05-01 06:11:05,ROBOT_02,44.37,8.179,1.488,48.122,33.19,0,정상
2026-05-01 06:11:05,ROBOT_03,56.75,11.922,3.339,47.995,36.89,0,주의
2026-05-01 06:11:05,ROBOT_04,50.09,7.228,1.552,48.236,30.18,0,정상
2026-05-01 07:04:06,ROBOT_01,39.69,7.56,1.012,47.973,32.27,0,정상
2026-05-01 07:04:06,ROBOT_02,46.48,8.11,1.343,48.32,28.86,0,정상
2026-05-01 07:04:06,ROBOT_03,46.16,7.97,1.334,49.665,31.13,0,정상
2026-05-01 07:04:06,ROBOT_04,50.01,9.451,1.69,47.684,31.27,0,정상
2026-05-01 07:57:07,ROBOT_01,46.4,7.099,1.541,48.139,29.18,0,정상
2026-05-01 07:57:07,ROBOT_02,45.44,7.6,1.252,48.303,30.29,0,정상
2026-05-01 07:57:07,ROBOT_03,48.59,8.232,1.322,48.886,31.53,0,정상
2026-05-01 07:57:07,ROBOT_04,50.05,8.202,1.657,47.537,33.55,0,정상
2026-05-01 08:50:07,ROBOT_01,49.01,8.072,1.133,48.327,31.87,0,정상
2026-05-01 08:50:07,ROBOT_02,51.58,8.89,1.67,48.012,33.16,0,정상
2026-05-01 08:50:07,ROBOT_03,43.4,7.918,1.362,47.997,29.01,0,정상
2026-05-01 08:50:07,ROBOT_04,49.1,6.737,0.983,48.274,33.46,0,정상
2026-05-01 09:43:08,ROBOT_01,50.1,7.398,1.47,47.765,32.47,0,정상
2026-05-01 09:43:08,ROBOT_02,48.9,8.321,1.262,47.733,28.69,0,정상
2026-05-01 09:43:08,ROBOT_03,43.58,8.47,1.411,48.067,33.6,0,정상
2026-05-01 09:43:08,ROBOT_04,48.28,8.727,1.726,47.803,31.62,0,정상
2026-05-01 10:36:09,ROBOT_01,45.77,7.5,1.289,48.924,29.64,0,정상
2026-05-01 10:36:09,ROBOT_02,44.11,7.977,0.957,48.221,31.55,0,정상
2026-05-01 10:36:09,ROBOT_03,45.39,8.431,1.291,48.283,33.38,0,정상
2026-05-01 10:36:09,ROBOT_04,49.08,8.914,1.598,47.696,34.4,0,정상
2026-05-01 11:29:10,ROBOT_01,46.57,7.393,1.353,48.148,32.96,0,정상
2026-05-01 11:29:10,ROBOT_02,45.31,8.403,1.153,48.515,29.2,0,정상
2026-05-01 11:29:10,ROBOT_03,41.8,7.898,1.648,48.924,31.42,0,정상
2026-05-01 11:29:10,ROBOT_04,49.35,7.963,1.54,48.447,33.29,0,정상
2026-05-01 12:22:11,ROBOT_01,46.82,8.669,1.094,48.176,39.22,0,정상
2026-05-01 12:22:11,ROBOT_02,48.48,8.436,1.45,48.079,32.34,0,정상
2026-05-01 12:22:11,ROBOT_03,45.83,7.945,1.625,47.476,30.94,0,정상
2026-05-01 12:22:11,ROBOT_04,50.34,8.439,1.243,47.14,33.15,0,정상
2026-05-01 13:15:11,ROBOT_01,51.24,10.573,1.332,47.963,37.03,0,정상
2026-05-01 13:15:11,ROBOT_02,51.28,7.827,1.214,47.6,34.34,0,정상
2026-05-01 13:15:11,ROBOT_03,47.85,8.975,1.303,47.934,34.01,0,정상
2026-05-01 13:15:11,ROBOT_04,52.25,8.779,1.694,47.461,32.71,0,정상
2026-05-01 14:08:12,ROBOT_01,42.7,8.199,1.76,48.469,32.61,0,정상
2026-05-01 14:08:12,ROBOT_02,51.18,7.056,1.284,48.206,32.26,0,정상
2026-05-01 14:08:12,ROBOT_03,49.75,9.069,1.291,48.048,36.77,0,정상
2026-05-01 14:08:12,ROBOT_04,49.98,8.508,1.3,48.01,32.03,0,정상
2026-05-01 15:01:13,ROBOT_01,49.14,9.193,2.045,47.578,35.43,0,정상
2026-05-01 15:01:13,ROBOT_02,56.18,10.291,1.203,47.837,37.66,0,정상
2026-05-01 15:01:13,ROBOT_03,50.5,7.578,1.528,48.848,30.1,0,정상
2026-05-01 15:01:13,ROBOT_04,49.56,9.239,1.787,46.751,34.21,0,정상
2026-05-01 15:54:14,ROBOT_01,48.9,9.707,1.667,47.862,32.85,0,정상
2026-05-01 15:54:14,ROBOT_02,52.87,8.412,1.36,47.612,37.3,0,정상
2026-05-01 15:54:14,ROBOT_03,53.52,9.838,1.499,48.07,30.92,0,정상
2026-05-01 15:54:14,ROBOT_04,48.31,9.752,1.999,47.571,32.06,0,정상
2026-05-01 16:47:15,ROBOT_01,49.49,8.313,1.322,48.009,34.49,0,정상
2026-05-01 16:47:15,ROBOT_02,55.77,9.888,1.363,47.395,36.49,0,정상
2026-05-01 16:47:15,ROBOT_03,46.33,8.537,1.93,47.79,33.42,0,정상
2026-05-01 16:47:15,ROBOT_04,54.7,8.456,2.053,48.286,36.84,0,정상
2026-05-01 17:40:15,ROBOT_01,49.34,8.357,1.654,47.423,34.48,0,정상
2026-05-01 17:40:15,ROBOT_02,50.96,9.181,1.209,48.3,31.45,0,정상
2026-05-01 17:40:15,ROBOT_03,49.05,9.158,1.643,46.651,33.45,0,정상
2026-05-01 17:40:15,ROBOT_04,49.39,8.883,1.451,46.582,34.86,0,정상
2026-05-01 18:33:16,ROBOT_01,47.87,9.404,2.26,47.867,38.04,0,정상
2026-05-01 18:33:16,ROBOT_02,52.19,8.471,1.893,47.068,36.03,0,정상
2026-05-01 18:33:16,ROBOT_03,47.25,9.799,2.152,48.574,32.38,0,정상
2026-05-01 18:33:16,ROBOT_04,50.37,8.89,2.154,47.531,33.41,0,정상
2026-05-01 19:26:17,ROBOT_01,51.41,9.226,1.46,47.732,35.42,0,정상
2026-05-01 19:26:17,ROBOT_02,51.04,8.133,1.694,47.297,38.12,0,정상
2026-05-01 19:26:17,ROBOT_03,49.34,9.099,1.41,47.505,36.23,0,정상
2026-05-01 19:26:17,ROBOT_04,50.27,8.99,1.268,47.786,32.23,0,정상
2026-05-01 20:19:18,ROBOT_01,49.34,8.947,1.527,48.09,33.24,0,정상
2026-05-01 20:19:18,ROBOT_02,48.67,9.075,1.444,47.41,37.34,0,정상
2026-05-01 20:19:18,ROBOT_03,46.47,9.777,1.316,48.471,32.18,0,정상
2026-05-01 20:19:18,ROBOT_04,49.72,9.977,1.915,47.384,35.92,0,정상
2026-05-01 21:12:19,ROBOT_01,49.24,7.959,1.638,48.623,33.99,0,정상
2026-05-01 21:12:19,ROBOT_02,52.96,8.602,1.581,47.246,36.54,0,정상
2026-05-01 21:12:19,ROBOT_03,51.2,8.99,1.564,48.694,35.84,0,정상
2026-05-01 21:12:19,ROBOT_04,48.85,8.981,1.598,48.085,36.23,0,정상
2026-05-01 22:05:19,ROBOT_01,53.27,9.067,1.392,48.261,32.73,0,정상
2026-05-01 22:05:19,ROBOT_02,54.47,10.189,1.738,48.777,33.13,0,정상
2026-05-01 22:05:19,ROBOT_03,48.28,7.96,1.194,48.508,31.36,0,정상
2026-05-01 22:05:19,ROBOT_04,54.51,8.752,1.858,47.744,33.43,0,정상
2026-05-01 22:58:20,ROBOT_01,50.58,9.229,1.622,48.468,35.17,0,정상
2026-05-01 22:58:20,ROBOT_02,51.03,9.542,1.133,48.245,32.93,0,정상
2026-05-01 22:58:20,ROBOT_03,48.2,8.487,1.256,48.276,30.98,0,정상
2026-05-01 22:58:20,ROBOT_04,50,9.11,1.769,47.396,33.41,0,정상
2026-05-01 23:51:21,ROBOT_01,47.04,9.24,1.878,48.89,32.26,0,정상
2026-05-01 23:51:21,ROBOT_02,50.52,9.298,1.702,48.572,34.78,0,정상
2026-05-01 23:51:21,ROBOT_03,44.74,7.832,1.235,48.032,31.03,0,정상
2026-05-01 23:51:21,ROBOT_04,46.82,8.491,2.104,47.889,34.2,0,정상
2026-05-02 00:44:22,ROBOT_01,47.82,8.693,1.314,48.904,36.08,1,정상
2026-05-02 00:44:22,ROBOT_02,48.21,8.989,1.647,48.16,35.02,1,정상
2026-05-02 00:44:22,ROBOT_03,51.91,9.505,1.462,47.734,36.46,1,정상
2026-05-02 00:44:22,ROBOT_04,50.99,9.425,1.843,46.848,34.94,1,정상
2026-05-02 01:37:22,ROBOT_01,50.36,9.359,1.66,48.031,33.67,1,정상
2026-05-02 01:37:22,ROBOT_02,49.86,8.729,1.346,48.323,34.09,1,정상
2026-05-02 01:37:22,ROBOT_03,47.58,9.522,1.264,48.315,30.85,1,정상
2026-05-02 01:37:22,ROBOT_04,54.26,8.934,2.054,47.597,34.93,1,정상
2026-05-02 02:30:23,ROBOT_01,54.12,7.721,1.322,47.684,31.87,1,정상
2026-05-02 02:30:23,ROBOT_02,50.21,7.347,1.245,48.356,34.41,1,정상
2026-05-02 02:30:23,ROBOT_03,47.41,7.768,0.57,48.021,28.75,1,정상
2026-05-02 02:30:23,ROBOT_04,47.49,8.15,1.439,47.576,31.63,1,정상
2026-05-02 03:23:24,ROBOT_01,52.16,8.176,1.297,47.365,30.22,1,정상
2026-05-02 03:23:24,ROBOT_02,48.46,8.255,1.065,47.69,31.4,1,정상
2026-05-02 03:23:24,ROBOT_03,50.11,9.355,1.23,48.174,32.94,1,정상
2026-05-02 03:23:24,ROBOT_04,47.27,8.307,1.755,48.102,34.49,1,정상
2026-05-02 04:16:25,ROBOT_01,48.95,8.357,1.446,47.83,34.63,1,정상
2026-05-02 04:16:25,ROBOT_02,43.56,7.609,1.236,47.411,32.18,1,정상
2026-05-02 04:16:25,ROBOT_03,41.41,8.655,1.746,48.559,32.51,1,정상
2026-05-02 04:16:25,ROBOT_04,46.92,7.306,1.411,48.012,30.58,1,정상
2026-05-02 05:09:26,ROBOT_01,43.86,9.155,1.633,48.413,27.91,1,정상
2026-05-02 05:09:26,ROBOT_02,39.97,7.292,0.797,49.076,27.89,1,정상
2026-05-02 05:09:26,ROBOT_03,45.29,7.621,1.595,48.079,32.5,1,정상
2026-05-02 05:09:26,ROBOT_04,47.86,7.388,1.904,47.582,31.08,1,정상
2026-05-02 06:02:26,ROBOT_01,42.14,8.34,1.779,47.961,30.47,1,정상
2026-05-02 06:02:26,ROBOT_02,50.59,8.155,1.698,48.039,31.59,1,정상
2026-05-02 06:02:26,ROBOT_03,46.01,7.806,1.408,48.428,31.15,1,정상
2026-05-02 06:02:26,ROBOT_04,47.35,8.065,1.615,48.123,30.89,1,정상
2026-05-02 06:55:27,ROBOT_01,44.68,7.822,2.044,47.629,31.26,1,정상
2026-05-02 06:55:27,ROBOT_02,44.06,7.858,1.229,48.357,30.96,1,정상
2026-05-02 06:55:27,ROBOT_03,46.56,7.432,1.997,48.283,32.21,1,정상
2026-05-02 06:55:27,ROBOT_04,50.11,7.551,1.6,48.528,28.79,1,정상
2026-05-02 07:48:28,ROBOT_01,50.51,9.174,1.667,48.497,30.51,1,정상
2026-05-02 07:48:28,ROBOT_02,54.51,8.789,1.61,47.648,32.75,1,정상
2026-05-02 07:48:28,ROBOT_03,46.38,8.463,1.12,48.41,31.49,1,정상
2026-05-02 07:48:28,ROBOT_04,47.6,8.278,1.165,47.895,33.29,1,정상
2026-05-02 08:41:29,ROBOT_01,45.26,7.672,1.698,48.476,31.66,1,정상
2026-05-02 08:41:29,ROBOT_02,47.43,7.977,1.573,48.595,31.8,1,정상
2026-05-02 08:41:29,ROBOT_03,47.64,7.617,1.372,48.384,31.47,1,정상
2026-05-02 08:41:29,ROBOT_04,48.66,6.581,1.659,47.387,31.51,1,정상
2026-05-02 09:34:30,ROBOT_01,43.1,8.768,1.081,48.066,31.07,1,정상
2026-05-02 09:34:30,ROBOT_02,44.62,7.546,1.783,48.787,27.78,1,정상
2026-05-02 09:34:30,ROBOT_03,49.27,8.822,1.157,48.842,31.84,1,정상
2026-05-02 09:34:30,ROBOT_04,46.51,7.486,1.494,47.964,29.25,1,정상
2026-05-02 10:27:30,ROBOT_01,46.85,8.328,1.764,48.07,33.55,1,정상
2026-05-02 10:27:30,ROBOT_02,50.29,8.683,1.445,48.339,30.85,1,정상
2026-05-02 10:27:30,ROBOT_03,52.54,9.441,1.297,47.428,32.17,1,정상
